Region,Code,Year,Type,Value
Western Africa,,2020,Barley,6.02
Western Africa,,2020,Maize,281.36
Western Africa,,2020,Rice,359.02
Western Africa,,2020,Wheat,172.73
Western Africa,,2021,Miscellaneous,4
Western Africa,,2021,Alcoholic beverages,22
Western Africa,,2021,Animal fats,11
Western Africa,,2021,Vegetable oils,243
Western Africa,,2021,Oilcrops,123
Western Africa,,2021,Fish and seafood,21
Western Africa,,2021,Sugar crops,2
Western Africa,,2021,Sugar & sweeteners,108
Western Africa,,2021,Starchy roots,562
Western Africa,,2021,"Meat, other",5.4
Western Africa,,2021,"Meat, sheep and goat",8.89
Western Africa,,2021,"Meat, pig",13.53
Western Africa,,2021,"Meat, poultry",14.76
Western Africa,,2021,"Meat, beef",12.89
Western Africa,,2021,Eggs,7
Western Africa,,2021,Milk,27
Western Africa,,2021,Nuts,3.91
Western Africa,,2021,Fruit,96
Western Africa,,2021,Vegetables,51
Western Africa,,2021,Pulses,110
Western Africa,,2021,Cereals,
Western Africa,,2021,Other,
Western Africa,,2021,Barley,7.67
Western Africa,,2021,Maize,290.35
Western Africa,,2021,Rice,375.44
Western Africa,,2021,Wheat,177.78
Western Asia,,2020,Miscellaneous,13
Western Asia,,2020,Alcoholic beverages,21
Western Asia,,2020,Animal fats,50
Western Asia,,2020,Vegetable oils,416
Western Asia,,2020,Oilcrops,39
Western Asia,,2020,Fish and seafood,14
Western Asia,,2020,Sugar crops,0
Western Asia,,2020,Sugar & sweeteners,275
Western Asia,,2020,Starchy roots,60
Western Asia,,2020,"Meat, other",2.8
Western Asia,,2020,"Meat, sheep and goat",28.31
Western Asia,,2020,"Meat, pig",3.43
Western Asia,,2020,"Meat, poultry",90.64
Western Asia,,2020,"Meat, beef",51.67
Western Asia,,2020,Eggs,27
Western Asia,,2020,Milk,241
Western Asia,,2020,Nuts,45.31
Western Asia,,2020,Fruit,163
Western Asia,,2020,Vegetables,104
Western Asia,,2020,Pulses,76
Western Asia,,2020,Cereals,
Western Asia,,2020,Other,
Western Asia,,2020,Barley,7.01
Western Asia,,2020,Maize,102.86
Western Asia,,2020,Rice,206.08
Western Asia,,2020,Wheat,1018.77
Western Asia,,2021,Miscellaneous,13
Western Asia,,2021,Alcoholic beverages,22
Western Asia,,2021,Animal fats,51
Western Asia,,2021,Vegetable oils,426
Western Asia,,2021,Oilcrops,43
Western Asia,,2021,Fish and seafood,14
Western Asia,,2021,Sugar crops,0
Western Asia,,2021,Sugar & sweeteners,261
Western Asia,,2021,Starchy roots,59
Western Asia,,2021,"Meat, other",2.52
Western Asia,,2021,"Meat, sheep and goat",28.99
Western Asia,,2021,"Meat, pig",3.68
Western Asia,,2021,"Meat, poultry",87.85
Western Asia,,2021,"Meat, beef",54.57
Western Asia,,2021,Eggs,25
Western Asia,,2021,Milk,234
Western Asia,,2021,Nuts,48.13
Western Asia,,2021,Fruit,160
Western Asia,,2021,Vegetables,104
Western Asia,,2021,Pulses,74
Western Asia,,2021,Cereals,
Western Asia,,2021,Other,
Western Asia,,2021,Barley,6.97
Western Asia,,2021,Maize,104.34
Western Asia,,2021,Rice,193.89
